x,n,error(log10)
0,16,-inf
0,32,-inf
0,64,-inf
0,128,-inf
0,256,-inf
0,512,-inf
0.00390625,16,-9.31426244125851829464e1
0.00390625,32,-1.89502731972792771584e2
0.00390625,64,-3.82217839620430371857e2
0.00390625,128,-7.67645500516904430781e2
0.00390625,256,-inf
0.00390625,512,-inf
0.0078125,16,-8.38368487407894335042e1
0.0078125,32,-1.70591034381400406520e2
0.0078125,64,-3.44094278353801465320e2
0.0078125,128,-6.91098201997706832546e2
0.0078125,256,-inf
0.0078125,512,-inf
0.01171875,16,-7.84040982059060740938e1
0.01171875,32,-1.59550322962931181707e2
0.01171875,64,-3.21837625389499912642e2
0.01171875,128,-6.46409656068322166508e2
0.01171875,256,-inf
0.01171875,512,-inf
0.015625,16,-7.45570006541478282847e1
0.015625,32,-1.51732067215430157571e2
0.015625,64,-3.06077033528792303469e2
0.015625,128,-6.14764382136239152455e2
0.015625,256,-1.23211240121153672940e3
0.015625,512,-1.23301549119852867298e3
0.01953125,16,-7.15787188015733071249e1
0.01953125,32,-1.45679468791734945065e2
0.01953125,64,-2.93875782297636426668e2
0.01953125,128,-5.90265815473437655692e2
0.01953125,256,-1.18304458483207169825e3
0.01953125,512,-1.23281053521554509980e3
0.0234375,16,-6.91499544678540097701e1
0.0234375,32,-1.40743631393906352942e2
0.0234375,64,-2.83925779162439125303e2
0.0234375,128,-5.70287471074800914896e2
0.0234375,256,-1.14300955301418705423e3
0.0234375,512,-1.23288888312795916273e3
0.02734375,16,-6.71003844969013144037e1
0.02734375,32,-1.36578414418374480089e2
0.02734375,64,-2.75529248624240507914e2
0.02734375,128,-5.53428303650375949613e2
0.02734375,256,-1.10922510693884348077e3
0.02734375,512,-1.23265396923668903318e3
0.03125,16,-6.53283413281024974159e1
0.03125,32,-1.32977203149096685364e2
0.03125,64,-2.68269681655715737471e2
0.03125,128,-5.38852015550062946615e2
0.03125,256,-1.08001537171028599387e3
0.03125,512,-1.23301216312438720958e3
0.03515625,16,-6.37682474611104175335e1
0.03515625,32,-1.29806727186002019644e2
0.03515625,64,-2.61878422056928878684e2
0.03515625,128,-5.26019178973987897680e2
0.03515625,256,-1.05429937632866046159e3
0.03515625,512,-1.23276146020860783982e3
0.0390625,16,-6.23753271808703707510e1
0.0390625,32,-1.26975990724885374315e2
0.0390625,64,-2.56172033844961554650e2
0.0390625,128,-5.14561477581600233326e2
0.0390625,256,-1.03133904373804917238e3
0.0390625,512,-1.23250536485559819558e3
0.04296875,16,-6.11176439187715567005e1
0.04296875,32,-1.24420090420393564730e2
0.04296875,64,-2.51019680120568187054e2
0.04296875,128,-5.04216207365666338020e2
0.04296875,256,-1.01060793571514088103e3
0.04296875,512,-inf
0.046875,16,-5.99716170076374530172e1
0.046875,32,-1.22091104275200145238e2
0.046875,64,-2.46324756225719616634e2
0.046875,128,-4.94789398346550743800e2
0.046875,256,-9.91717351636987129867e2
0.046875,512,-inf
0.05078125,16,-5.89193391322602714331e1
0.05078125,32,-1.19952640007221406044e2
0.05078125,64,-2.42013899944182107167e2
0.05078125,128,-4.86133748439521111535e2
0.05078125,256,-9.74372109681759166033e2
0.05078125,512,-1.23244076379859406219e3
0.0546875,16,-5.79468907478988204027e1
0.0546875,32,-1.17976409513016051088e2
0.0546875,64,-2.38030086054720580871e2
0.0546875,128,-4.78134758187558545117e2
0.0546875,256,-9.58342761920772395180e2
0.0546875,512,-1.23217110584345051330e3
0.05859375,16,-5.70432374398561136423e1
0.05859375,32,-1.16139988017895311519e2
0.05859375,64,-2.34328109062273670232e2
0.05859375,128,-4.70701660654662484418e2
0.05859375,256,-9.43447418536050938937e2
0.05859375,512,-1.23267738018746353862e3
0.0625,16,-5.61994838722214804587e1
0.0625,32,-1.14425297907238321627e2
0.0625,64,-2.30871526794415554945e2
0.0625,128,-4.63761284552605429409e2
0.0625,256,-9.29539450007668115963e2
0.0625,512,-inf
0.06640625,16,-5.54083543097771872674e1
0.06640625,32,-1.12817553012948260527e2
0.06640625,64,-2.27630532216911075147e2
0.06640625,128,-4.57253781114685962253e2
0.06640625,256,-9.16498924103895264708e2
0.06640625,512,-1.23273012504149204725e3
0.0703125,16,-5.46638218487925265392e1
0.0703125,32,-1.11304505114744300069e2
0.0703125,64,-2.24580434476003329738e2
0.0703125,128,-4.51129574220007612941e2
0.0703125,256,-9.04226494169463126901e2
0.0703125,512,-1.23275414591821768018e3
0.07421875,16,-5.39608380270187690768e1
0.07421875,32,-1.09875894437894002577e2
0.07421875,64,-2.21700551171620898861e2
0.07421875,128,-4.45347136217635698314e2
0.07421875,256,-8.92638942051617903252e2
0.07421875,512,-1.23277682675025122137e3
0.078125,16,-5.32951318701448162387e1
0.078125,32,-1.08523041263752933496e2
0.078125,64,-2.18973385096085312445e2
0.078125,128,-4.39871334921640470140e2
0.078125,256,-8.81665865607835744469e2
0.078125,512,-inf
0.08203125,16,-5.26630580183637930518e1
0.08203125,32,-1.07238537283755527304e2
0.08203125,64,-2.16384002042950398010e2
